[14Oct2025 11:27:23.921] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, MC_Nirvana, --version, 1.21.1, --gameDir, D:/Saved Games/Other-Games/Minecraft/Prism Launcher/instances/Promised-World-Dev/minecraft, --assetsDir, C:/Users/nirvana/AppData/Roaming/PrismLauncher/assets, --assetIndex, 17, --uuid, 1b6f8f0f43b5488eb25859bfab6016fb, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.211, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[14Oct2025 11:27:23.925] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Microsoft OpenJDK 64-Bit Server VM 21.0.3+9-LTS
[14Oct2025 11:27:23.930] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.3 by Microsoft; OS Windows 11 arch amd64 version 10.0
[14Oct2025 11:27:24.421] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[14Oct2025 11:27:24.560] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[14Oct2025 11:27:24.798] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[14Oct2025 11:27:24.977] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/nirvana/AppData/Roaming/PrismLauncher/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23175!/ Service=ModLauncher Env=CLIENT
[14Oct2025 11:27:25.189] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 4060/PCIe/SSE2 GL version 4.6.0 NVIDIA 581.29, NVIDIA Corporation
[14Oct2025 11:27:26.625] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.211:client]
[14Oct2025 11:27:26.649] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.211-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\nirvana\AppData\Roaming\PrismLauncher\libraries\net\neoforged\neoforge\21.1.211\neoforge-21.1.211-universal.jar]], reader: mod manifest]
[14Oct2025 11:27:26.670] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][应用能源2][AE2无线终端]ae2wtlib-19.2.6.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.673] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][应用能源2][应用能源2：多态合成扩展]polyeng-0.4.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.676] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][应用能源2][应用能源2：新生魔艺扩展]arseng-2.1.1-beta.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.679] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][应用能源2][应用能源2：通用机械扩展]Applied-Mekanistics-1.6.3.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.685] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][应用能源2][经验存储元件]applied-experienced-1.21.1-1.2.0.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.691] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][应用能源2]appliedenergistics2-19.2.17.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.696] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][电脑][海龟充电站]turtlechargingstation-1.7.0-1.21.1-neoforge.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.700] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][电脑]cc-tweaked-1.21.1-forge-1.116.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.705] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][红石计划][红石计划：传导]ProjectRed-1.21.1-4.22.0-alpha+11-transmission.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.709] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][红石计划][红石计划：制作]ProjectRed-1.21.1-4.22.0-alpha+11-fabrication.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.713] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][红石计划][红石计划：探索]ProjectRed-1.21.1-4.22.0-alpha+11-exploration.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.716] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][红石计划][红石计划：机械]ProjectRed-1.21.1-4.22.0-alpha+11-expansion.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.720] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][红石计划][红石计划：照明]ProjectRed-1.21.1-4.22.0-alpha+11-illumination.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.723] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][红石计划][红石计划：集成]ProjectRed-1.21.1-4.22.0-alpha+11-integration.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.726] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][红石计划]ProjectRed-1.21.1-4.22.0-alpha+11-core.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.731] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][虫洞]wormhole-1.1.16-neoforge-mc1.21.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.736] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][通用机械][通用机械：发电机]MekanismGenerators-1.21.1-10.7.16.82.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.739] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][通用机械][通用机械：工具]MekanismTools-1.21.1-10.7.16.82.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.746] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[A][科技][通用机械]Mekanism-1.21.1-10.7.16.82.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.752] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[B][魔法][Iron的法术与魔法书]irons_spellbooks-1.21.1-3.14.5.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.773] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[B][魔法][新生魔艺]ars_nouveau-1.21.1-5.10.6.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.779] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[B][魔法][魔法巫师]hexerei-0.5.0.3.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.783] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][善魂]happy_ghast_legacy-1.8-1.21.1-neoforge.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.787] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][幽邃黑暗]deeperdarker-neoforge-1.21.1-1.3.5.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.794] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][暮色森林]twilightforest-1.21.1-4.7.3196-universal.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.797] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][更多武器：传承]weaponmod-neoforge-1.21-1.24.2.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.802] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][更好的打雪仗3]bsf-3.1.1.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
[14Oct2025 11:27:26.805] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[C][冒险][有用的原版生物]useful-mobs-3.0.jar" [locator: {mods folder locator at D:\Saved Games\Other-Games\Minecraft\Prism Launcher\instances\Promised-World-Dev\minecraft\mods}, reader: mod manifest]
